date,code,close,open,high,low,volume
2004/1/5,sz50,1060.8,1008.28,1060.9,1008.28,1450000000
2004/1/6,sz50,1075.66,1059.14,1086.69,1059.1,1700000000
2004/1/7,sz50,1086.3,1075.56,1095.84,1070.98,1370000000
2004/1/8,sz50,1102.66,1087.68,1108.29,1082.51,1080000000
2004/1/9,sz50,1081.79,1105.77,1115.46,1079.07,1350000000
2004/1/12,sz50,1116.8,1081.81,1117.51,1079.77,1020000000
2004/1/13,sz50,1102.34,1120.15,1123.66,1089.63,301300000
2004/1/14,sz50,1079.72,1101.44,1101.67,1076.87,712000000
2004/1/15,sz50,1073.98,1078.53,1088.67,1070.73,617900000
2004/1/16,sz50,1083.65,1076.64,1087.82,1067.85,717400000
2004/1/29,sz50,1100.6,1086.66,1101.03,1084.45,579100000
2004/1/30,sz50,1067.55,1102.17,1103.7,1066.44,776100000
2004/2/2,sz50,1091.73,1107.49,1116.31,1069.97,1540000000
2004/2/3,sz50,1102.95,1091.87,1103.24,1084.39,841100000
2004/2/4,sz50,1128.44,1104.74,1130.14,1104.74,1050000000
2004/2/5,sz50,1127.9,1135.62,1136.42,1118.17,977400000
2004/2/6,sz50,1122.08,1125.49,1139.09,1108.91,1050000000
2004/2/9,sz50,1134.61,1122.29,1134.91,1122.28,859800000
2004/2/10,sz50,1120.96,1137.72,1141.99,1116.93,866300000
2004/2/11,sz50,1110.06,1121.81,1123.77,1100.24,924600000
2004/2/12,sz50,1094.11,1110.84,1122.48,1092.29,958200000
2004/2/13,sz50,1096.36,1094,1105.82,1088.86,690500000
2004/2/16,sz50,1123.75,1098.86,1124.36,1098.86,762300000
2004/2/17,sz50,1123.62,1127.1,1132.71,1121.28,881600000
2004/2/18,sz50,1129.28,1123.7,1136.53,1119.63,809400000
2004/2/19,sz50,1122.38,1130.4,1138.08,1119.67,713100000
2004/2/20,sz50,1124.66,1122.93,1125.37,1112.94,598900000
2004/2/23,sz50,1093.14,1126.23,1129.52,1092.01,880300000
2004/2/24,sz50,1093.1,1090.25,1095.94,1072.33,844900000
2004/2/25,sz50,1070.36,1094.43,1104.35,1067.13,806400000
2004/2/26,sz50,1079.9,1068.12,1080.23,1061.2,810100000
2004/2/27,sz50,1088.72,1081.71,1090.89,1079.93,729300000
2004/3/1,sz50,1094.24,1089.65,1095.23,1076.08,644200000
2004/3/2,sz50,1093.39,1096.11,1099.71,1086.72,557700000
2004/3/3,sz50,1072.64,1093.36,1093.74,1067.94,521500000
2004/3/4,sz50,1078.35,1070.9,1079.27,1061.89,481000000
2004/3/5,sz50,1071.58,1080.34,1083.14,1070.3,336500000
2004/3/8,sz50,1057.1,1070.11,1075.75,1056.04,460000000
2004/3/9,sz50,1061.16,1057.36,1075.22,1056.88,691800000
2004/3/10,sz50,1091.1,1062.98,1091.35,1062.98,611400000
2004/3/11,sz50,1095.56,1092.74,1102.22,1086.55,576200000
2004/3/12,sz50,1099.08,1096.35,1102.13,1088.44,523600000
2004/3/15,sz50,1131.67,1100.4,1134.28,1100.15,1030000000
2004/3/16,sz50,1135.57,1136.27,1139.49,1127.85,732900000
2004/3/17,sz50,1135.17,1136.45,1139.28,1124.6,549000000
2004/3/18,sz50,1111.85,1134.93,1141.81,1110.32,687000000
2004/3/19,sz50,1129.78,1110.44,1130.26,1107.1,588600000
2004/3/22,sz50,1134.79,1130.87,1141.81,1126.19,509400000
2004/3/23,sz50,1121.33,1133.99,1134.13,1115.67,558800000
2004/3/24,sz50,1115.51,1120.21,1125.06,1109.33,480000000
2004/3/25,sz50,1115.24,1114.75,1126.19,1108.18,460900000
2004/3/26,sz50,1112.78,1115.49,1118.72,1105.55,539500000
2004/3/29,sz50,1101.66,1112.28,1115.05,1100.43,533600000
2004/3/30,sz50,1101.27,1100.8,1106.01,1093.12,415900000
2004/3/31,sz50,1108.54,1102.29,1113.74,1097.87,424800000
2004/4/1,sz50,1123.43,1109.72,1124.25,1108.91,468300000
2004/4/2,sz50,1127.81,1125.36,1133.44,1122.64,578900000
2004/4/5,sz50,1118.27,1128.51,1129.82,1112.29,626000000
2004/4/6,sz50,1123.86,1117.89,1124.02,1106.6,554600000
2004/4/7,sz50,1117.44,1124.25,1125.63,1116.13,467400000
2004/4/8,sz50,1112.84,1117.12,1118.47,1109.78,575900000
2004/4/9,sz50,1088.16,1113.72,1119.15,1083.33,692200000
2004/4/12,sz50,1080.08,1082.45,1087.48,1071.12,502100000
2004/4/13,sz50,1072.73,1081.05,1087.32,1070.84,495900000
2004/4/14,sz50,1065.68,1072.2,1074.63,1052.92,483800000
2004/4/15,sz50,1055.89,1066.18,1072.24,1053.08,360100000
2004/4/16,sz50,1071.23,1056.8,1071.55,1049.03,443800000
2004/4/19,sz50,1054.74,1072.5,1073.4,1052.5,407900000
