Model,Step,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
DS-LDE,t+1,0.00010951541965672125,3.428478182183074e-07,0.010464948708484356,1.637637056451494e-05,0.007371881821503242,3.7299451737442653e-06
DS-LDE,t+2,0.00010960374735683824,9.908190976894334e-08,0.010469179765379595,4.732547380650417e-06,0.007365167296181123,1.2082368369235801e-05
DS-LDE,t+3,0.0001095692059607245,2.7864195320677615e-07,0.01046752257410062,1.3308697098771906e-05,0.007355217356234789,9.133123326505045e-06
DS-LDE,t+4,0.00010966327681671828,3.256154405337593e-08,0.010472023414776233,1.554701448867994e-06,0.0073709033119181795,4.7609691179047925e-06
w/o PSR,t+1,8.70256480993703e-05,1.4212819457325459e-05,0.009297612147578743,0.0007616143726102618,0.006482843154420455,0.0007250503218070402
w/o PSR,t+2,0.00011476955599694823,9.48828234398952e-08,0.010713054484222594,4.428885454776217e-06,0.0075698924871782465,1.097561699823274e-05
w/o PSR,t+3,0.00011422899357664089,5.30895170856368e-07,0.010687767659407939,2.4820055492131113e-05,0.00752831157296896,1.8158718495088805e-05
w/o PSR,t+4,0.0001146887492116851,1.9594566455117066e-07,0.010709279413610537,9.146196077659314e-06,0.007533748013277848,8.183182005102302e-06
w/o Lévy,t+1,0.00010947385938682903,2.944076161610381e-07,0.010462966191391213,1.4066436417903245e-05,0.007368220637242,8.884272449283081e-06
w/o Lévy,t+2,0.00010962654778268188,7.083512437147612e-08,0.010470269162719604,3.3827333323472857e-06,0.007366866494218509,1.289741700285557e-05
w/o Lévy,t+3,0.00010953072827154149,2.75737123320227e-07,0.010465684632162358,1.3170104864274425e-05,0.007351980389406283,5.952657747843105e-06
w/o Lévy,t+4,0.00010963576642097905,3.0371946356983245e-08,0.010470709828736777,1.4503013873747453e-06,0.007368566157917182,6.565004055250666e-06
w/ Attention,t+1,0.00011160236802728225,2.6641897358335435e-07,0.010564194671341164,1.2608461016223921e-05,0.007486152928322554,2.3773168354131906e-05
w/ Attention,t+2,0.00011205400369362906,2.952705178859153e-07,0.010585547175984774,1.395272840105787e-05,0.007471867526570956,1.2154782073768335e-05
w/ Attention,t+3,0.00011302589943322043,1.081952316562107e-06,0.010631242278525764,5.086303674348854e-05,0.007505548807481925,3.353193446944035e-05
w/ Attention,t+4,0.00011174526783482482,2.0515011138646232e-07,0.01057095897718622,9.702446645480346e-06,0.007505985752989848,1.5043216171755484e-05
w/o D₂门控,t+1,0.00010952297210072477,3.288505752170801e-07,0.010465310574013642,1.570637332378624e-05,0.007373041473329067,3.721462750056965e-06
w/o D₂门控,t+2,0.00010959879728034139,9.40520149725019e-08,0.010468943456710266,4.492276113640783e-06,0.007368034838388364,7.8192856715375e-06
w/o D₂门控,t+3,0.00010954163493200515,2.9387919666523784e-07,0.010466204556394331,1.4039790443632064e-05,0.007353437288353841,1.0726588983839992e-05
w/o D₂门控,t+4,0.00010971360461553559,7.797212639346803e-08,0.010474425557635322,3.721974143733657e-06,0.007374136863897244,9.674329980911847e-06
