Model,Step,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
LSTM,t+1,0.00011661536700557917,1.7878968911828656e-06,0.010798541700273022,8.285018433191558e-05,0.007764465641230345,0.0001255676269246321
LSTM,t+2,0.00011398544787274052,1.8181805734534967e-06,0.010676059028511797,8.492050678305861e-05,0.007557490840554237,7.077740744925499e-05
LSTM,t+3,0.00012051419374377777,3.3506568965208286e-06,0.010976842412845756,0.00015206704879215874,0.007786851841956377,7.812701925161428e-05
LSTM,t+4,0.00011589479011793931,1.1471478620794686e-06,0.010765312796381363,5.320257519162764e-05,0.007700327939043443,1.8348185073283394e-05
SDE,t+1,0.00011164677804724003,2.1752445757357387e-07,0.010566298881653108,1.0295184131629866e-05,0.007485493862380584,2.1168973471742518e-05
SDE,t+2,0.00011215745325898752,3.7311864487475247e-07,0.010590426933494544,1.7624565267895398e-05,0.007474963553249836,9.095360610170734e-06
SDE,t+3,0.00011310056773557638,1.0997345001121756e-06,0.010634749488856435,5.168215208518935e-05,0.007511598989367485,3.6711251145626195e-05
SDE,t+4,0.00011182988964719698,3.0252015195539165e-07,0.01057495556392367,1.4299239028480458e-05,0.007505560449014108,1.4648561641334874e-05
LDE,t+1,0.00010952297210072477,3.288505752170801e-07,0.010465310574013642,1.570637332378624e-05,0.007373041473329067,3.721462750056965e-06
LDE,t+2,0.00010959879728034139,9.40520149725019e-08,0.010468943456710266,4.492276113640783e-06,0.007368034838388364,7.8192856715375e-06
LDE,t+3,0.00010954163493200515,2.9387919666523784e-07,0.010466204556394331,1.4039790443632064e-05,0.007353437288353841,1.0726588983839992e-05
LDE,t+4,0.00010971360461553559,7.797212639346803e-08,0.010474425557635322,3.721974143733657e-06,0.007374136863897244,9.674329980911847e-06
DS-LDE,t+1,0.00010951541965672125,3.428478182183074e-07,0.010464948708484356,1.637637056451494e-05,0.007371881821503242,3.7299451737442653e-06
DS-LDE,t+2,0.00010960374735683824,9.908190976894334e-08,0.010469179765379595,4.732547380650417e-06,0.007365167296181123,1.2082368369235801e-05
DS-LDE,t+3,0.0001095692059607245,2.7864195320677615e-07,0.01046752257410062,1.3308697098771906e-05,0.007355217356234789,9.133123326505045e-06
DS-LDE,t+4,0.00010966327681671828,3.256154405337593e-08,0.010472023414776233,1.554701448867994e-06,0.0073709033119181795,4.7609691179047925e-06
