feature,crisis_imp,normal_imp,ratio,is_dynamical,crisis_direction,description
D_higuchi,0.043333,0.032532,1.332,True,↓风险,Higuchi 分形维数
TE_cross,0.032588,0.02605,1.251,True,↓风险,转移熵（跨资产信息流）
term_slope,0.023571,0.027601,0.854,False,↑风险,term_slope
r_t-3,0.022403,0.03468,0.646,False,↓风险,r_t-3
r_t,0.021173,0.026043,0.813,False,↑风险,r_t
m_star_FNN,0.020485,0.015152,1.352,True,↓风险,FNN 嵌入维数（相空间复杂度）
H_rs,0.020257,0.016783,1.207,True,↓风险,R/S Hurst 指数（长记忆）
RV_5d,0.01991,0.024795,0.803,False,↓风险,RV_5d
n_u_ratio,0.019535,0.030861,0.633,False,↓风险,n_u_ratio
RV_22d,0.019208,0.024753,0.776,False,↓风险,RV_22d
SKEW_idx,0.019183,0.029741,0.645,False,↓风险,SKEW_idx
delta_rf,0.01854,0.028392,0.653,False,↓风险,delta_rf
PermEn,0.018123,0.013133,1.38,True,↑风险,排列熵（有序模式复杂度）
r_t-4,0.018048,0.01966,0.918,False,↓风险,r_t-4
corr_roll,0.017901,0.026919,0.665,False,↑风险,corr_roll
IV_t,0.017716,0.025309,0.7,False,↓风险,IV_t
RR,0.0172,0.011661,1.475,True,↓风险,递归率（体制稳定性）
FX_ret,0.017061,0.017753,0.961,False,↓风险,FX_ret
CS_IG,0.016372,0.019773,0.828,False,↓风险,CS_IG
IV_roll_std,0.016324,0.021394,0.763,False,↑风险,IV_roll_std
SampEn,0.016299,0.009944,1.639,True,↑风险,样本熵（序列规律性）
DeltaH_multifrac,0.016021,0.013329,1.202,True,↑风险,多重分形谱宽 ΔH
lambda1,0.015941,0.01007,1.583,True,↑风险,最大 Lyapunov 指数（混沌度）
r_t-1,0.015767,0.021778,0.724,False,↓风险,r_t-1
IV_lag1,0.015421,0.022948,0.672,False,↓风险,IV_lag1
D_boxcount,0.015378,0.012452,1.235,True,↑风险,盒计数维数
H_dfa,0.015216,0.011484,1.325,True,↑风险,DFA Hurst（去趋势长记忆）
r_t-5,0.014993,0.016404,0.914,False,↑风险,r_t-5
r_t-2,0.014578,0.021282,0.685,False,↓风险,r_t-2
corr_stress,0.014321,0.017275,0.829,False,↓风险,corr_stress
Comdty_ret,0.013972,0.016438,0.85,False,↓风险,Comdty_ret
D2_corr_dim,0.013923,0.010275,1.355,True,↓风险,关联维数 D₂（吸引子复杂度）
CS_HY,0.011919,0.014589,0.817,False,↓风险,CS_HY
